year,age_group,sex,nuts_3_region,STATISTIC,value
2024,0 - 4 years,Both sexes,Mid-West,PEA26C01,27931.0
2024,45 - 49 years,Male,South-West,PEA26C01,27868.0
2024,55 - 59 years,Both sexes,Border,PEA26C01,27860.0
2023,35 - 39 years,Female,South-West,PEA26C01,27809.0
2023,70 - 74 years,Both sexes,Mid-East,PEA26C01,27764.0
2023,50 - 54 years,Male,Mid-East,PEA26C01,27738.0
2023,50 - 54 years,Female,Mid-East,PEA26C01,27693.0
2024,0 - 4 years,Both sexes,West,PEA26C01,27688.0
2023,0 - 4 years,Both sexes,West,PEA26C01,27683.0
2023,70 - 74 years,Female,Dublin,PEA26C01,27629.0
2024,35 - 39 years,Female,South-West,PEA26C01,27534.0
2023,60 - 64 years,Both sexes,South-East,PEA26C01,27467.0
2023,45 - 49 years,Male,South-West,PEA26C01,27461.0
2024,80 - 84 years,Both sexes,Dublin,PEA26C01,27369.0
2024,10 - 14 years,Male,South-West,PEA26C01,27317.0
2023,10 - 14 years,Male,South-West,PEA26C01,27276.0
2024,5 - 9 years,Male,Mid-East,PEA26C01,27271.0
2024,65 - 69 years,Both sexes,Mid-West,PEA26C01,27231.0
2023,15 - 19 years,Female,Mid-East,PEA26C01,27221.0
2023,55 - 59 years,Both sexes,Border,PEA26C01,27080.0
