year,age_group,sex,human_development_index_rating,STATISTIC,value
2023,10 - 14 years,Both sexes,High Human Development Index (HDI),PEA27C01,6754.0
2024,45 - 49 years,Male,High Human Development Index (HDI),PEA27C01,6734.0
2023,25 - 29 years,Female,High Human Development Index (HDI),PEA27C01,6592.0
2024,45 - 49 years,Female,High Human Development Index (HDI),PEA27C01,6576.0
2024,85 years and over,Female,Human Development Index (HDI) - All ratings,PEA27C01,6433.0
2024,25 - 29 years,Female,High Human Development Index (HDI),PEA27C01,6375.0
2024,50 - 54 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,6357.0
2023,20 - 24 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,6306.0
2024,80 - 84 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,6271.0
2024,55 - 59 years,Both sexes,High Human Development Index (HDI),PEA27C01,6222.0
2023,45 - 49 years,Male,High Human Development Index (HDI),PEA27C01,6062.0
2023,85 years and over,Female,Human Development Index (HDI) - All ratings,PEA27C01,6037.0
2023,45 - 49 years,Female,High Human Development Index (HDI),PEA27C01,6024.0
2023,25 - 29 years,Male,High Human Development Index (HDI),PEA27C01,5966.0
2024,5 - 9 years,Both sexes,High Human Development Index (HDI),PEA27C01,5941.0
2023,5 - 9 years,Both sexes,High Human Development Index (HDI),PEA27C01,5910.0
2023,55 - 59 years,Both sexes,High Human Development Index (HDI),PEA27C01,5897.0
2024,80 - 84 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,5876.0
2023,50 - 54 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5868.0
2023,80 - 84 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,5862.0
2024,25 - 29 years,Male,High Human Development Index (HDI),PEA27C01,5845.0
2024,15 - 19 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5843.0
2023,30 - 34 years,Both sexes,Low Human Development Index (HDI),PEA27C01,5817.0
2024,30 - 34 years,Both sexes,Low Human Development Index (HDI),PEA27C01,5640.0
2023,10 - 14 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5622.0
2024,10 - 14 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5592.0
2023,80 - 84 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,5576.0
2024,45 - 49 years,Male,Medium Human Development Index (HDI),PEA27C01,5488.0
2023,25 - 29 years,Female,Medium Human Development Index (HDI),PEA27C01,5477.0
2024,45 - 49 years,Female,Medium Human Development Index (HDI),PEA27C01,5420.0
2023,15 - 19 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5407.0
2024,60 - 64 years,Both sexes,High Human Development Index (HDI),PEA27C01,5376.0
2024,45 - 49 years,Both sexes,Low Human Development Index (HDI),PEA27C01,5315.0
2024,25 - 29 years,Female,Medium Human Development Index (HDI),PEA27C01,5291.0
2023,Under 5 years,Both sexes,High Human Development Index (HDI),PEA27C01,5226.0
2024,Under 5 years,Both sexes,High Human Development Index (HDI),PEA27C01,5201.0
2024,55 - 59 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,5104.0
2023,45 - 49 years,Male,Medium Human Development Index (HDI),PEA27C01,4950.0
2024,5 - 9 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4903.0
2023,60 - 64 years,Both sexes,High Human Development Index (HDI),PEA27C01,4893.0
2023,45 - 49 years,Female,Medium Human Development Index (HDI),PEA27C01,4862.0
2023,25 - 29 years,Male,Medium Human Development Index (HDI),PEA27C01,4850.0
2023,55 - 59 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4843.0
2023,5 - 9 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4824.0
2023,45 - 49 years,Both sexes,Low Human Development Index (HDI),PEA27C01,4794.0
2024,85 years and over,Male,Human Development Index (HDI) - All ratings,PEA27C01,4792.0
2024,80 - 84 years,Female,Very High Human Development Index (HDI),PEA27C01,4763.0
2024,85 years and over,Female,Very High Human Development Index (HDI),PEA27C01,4755.0
