year,age_group,nuts_3_region,STATISTIC,value
1985,15 - 19 years,Ireland,VSA104C02,16.6
2008,15 - 19 years,Ireland,VSA104C02,16.5
2006,15 - 19 years,Ireland,VSA104C02,16.4
1986,15 - 19 years,Ireland,VSA104C02,16.4
1993,15 - 19 years,Ireland,VSA104C02,16.3
1970,15 - 19 years,Ireland,VSA104C02,16.3
2004,40 - 44 years,Ireland,VSA104C02,16.2
1987,15 - 19 years,Ireland,VSA104C02,16.1
2003,40 - 44 years,Ireland,VSA104C02,15.7
2009,15 - 19 years,Ireland,VSA104C02,15.6
1969,15 - 19 years,Ireland,VSA104C02,15.4
1990,40 - 44 years,Ireland,VSA104C02,15.4
1988,15 - 19 years,Ireland,VSA104C02,15.3
1991,40 - 44 years,Ireland,VSA104C02,15.2
1995,15 - 19 years,Ireland,VSA104C02,15.1
1994,15 - 19 years,Ireland,VSA104C02,15.0
1989,15 - 19 years,Ireland,VSA104C02,14.8
2002,40 - 44 years,Ireland,VSA104C02,14.5
2010,15 - 19 years,Ireland,VSA104C02,14.4
1992,40 - 44 years,Ireland,VSA104C02,14.4
1993,40 - 44 years,Ireland,VSA104C02,14.1
2001,40 - 44 years,Ireland,VSA104C02,13.9
2000,40 - 44 years,Ireland,VSA104C02,13.6
1998,40 - 44 years,Ireland,VSA104C02,13.4
1997,40 - 44 years,Ireland,VSA104C02,13.4
1995,40 - 44 years,Ireland,VSA104C02,13.1
1999,40 - 44 years,Ireland,VSA104C02,12.9
1994,40 - 44 years,Ireland,VSA104C02,12.8
2011,15 - 19 years,Ireland,VSA104C02,12.3
1996,40 - 44 years,Ireland,VSA104C02,11.8
2012,15 - 19 years,Ireland,VSA104C02,11.8
2013,15 - 19 years,Ireland,VSA104C02,10.0
2014,15 - 19 years,Ireland,VSA104C02,8.7
2015,15 - 19 years,Ireland,VSA104C02,8.3
2016,15 - 19 years,Ireland,VSA104C02,7.5
2022,15 - 19 years,Midland,VSA104C02,7.0
2017,15 - 19 years,Ireland,VSA104C02,6.9
2021,15 - 19 years,Midland,VSA104C02,6.6
2018,15 - 19 years,Ireland,VSA104C02,6.2
2022,15 - 19 years,Dublin,VSA104C02,5.8
2022,15 - 19 years,Mid-West,VSA104C02,5.7
2021,15 - 19 years,Dublin,VSA104C02,5.6
2020,15 - 19 years,Ireland,VSA104C02,5.4
2019,15 - 19 years,Ireland,VSA104C02,5.4
2021,15 - 19 years,Mid-West,VSA104C02,5.0
2023,15 - 19 years,South-East,VSA104C02,4.9
2021,15 - 19 years,South-East,VSA104C02,4.8
2023,15 - 19 years,Dublin,VSA104C02,4.7
2022,15 - 19 years,Ireland,VSA104C02,4.7
2022,15 - 19 years,Mid-East,VSA104C02,4.4
1969,45 - 49 years,Ireland,VSA104C02,4.4
2021,15 - 19 years,Ireland,VSA104C02,4.4
2023,15 - 19 years,Midland,VSA104C02,4.2
2023,15 - 19 years,Border,VSA104C02,4.1
2022,15 - 19 years,South-East,VSA104C02,4.1
2023,15 - 19 years,Ireland,VSA104C02,4.0
1971,All ages,Ireland,VSA104C01,3.98
1972,All ages,Ireland,VSA104C01,3.88
1970,All ages,Ireland,VSA104C01,3.87
1969,All ages,Ireland,VSA104C01,3.85
1973,All ages,Ireland,VSA104C01,3.74
1970,45 - 49 years,Ireland,VSA104C02,3.7
1974,All ages,Ireland,VSA104C01,3.62
2022,15 - 19 years,West,VSA104C02,3.6
2023,15 - 19 years,South-West,VSA104C02,3.5
2023,15 - 19 years,Mid-West,VSA104C02,3.5
2023,15 - 19 years,Mid-East,VSA104C02,3.4
1972,45 - 49 years,Ireland,VSA104C02,3.4
1975,All ages,Ireland,VSA104C01,3.4
1976,All ages,Ireland,VSA104C01,3.31
1971,45 - 49 years,Ireland,VSA104C02,3.3
2022,15 - 19 years,Border,VSA104C02,3.3
2021,15 - 19 years,Mid-East,VSA104C02,3.3
2021,15 - 19 years,Border,VSA104C02,3.3
1977,All ages,Ireland,VSA104C01,3.27
1978,All ages,Ireland,VSA104C01,3.24
1980,All ages,Ireland,VSA104C01,3.23
1979,All ages,Ireland,VSA104C01,3.23
2022,15 - 19 years,South-West,VSA104C02,3.2
2021,15 - 19 years,South-West,VSA104C02,3.1
1976,45 - 49 years,Ireland,VSA104C02,3.1
1981,All ages,Ireland,VSA104C01,3.07
1977,45 - 49 years,Ireland,VSA104C02,3.0
1982,All ages,Ireland,VSA104C01,2.96
2021,15 - 19 years,West,VSA104C02,2.9
2023,15 - 19 years,West,VSA104C02,2.9
1974,45 - 49 years,Ireland,VSA104C02,2.8
1978,45 - 49 years,Ireland,VSA104C02,2.8
1983,All ages,Ireland,VSA104C01,2.76
1973,45 - 49 years,Ireland,VSA104C02,2.7
1975,45 - 49 years,Ireland,VSA104C02,2.6
1984,All ages,Ireland,VSA104C01,2.59
1985,All ages,Ireland,VSA104C01,2.5
1986,All ages,Ireland,VSA104C01,2.44
1981,45 - 49 years,Ireland,VSA104C02,2.4
2023,45 - 49 years,Dublin,VSA104C02,2.4
1987,All ages,Ireland,VSA104C01,2.31
1980,45 - 49 years,Ireland,VSA104C02,2.3
1979,45 - 49 years,Ireland,VSA104C02,2.3
1982,45 - 49 years,Ireland,VSA104C02,2.2
1988,All ages,Ireland,VSA104C01,2.17
1990,All ages,Ireland,VSA104C01,2.12
2021,45 - 49 years,Dublin,VSA104C02,2.1
2022,45 - 49 years,South-West,VSA104C02,2.1
2019,45 - 49 years,Ireland,VSA104C02,2.1
1991,All ages,Ireland,VSA104C01,2.09
1989,All ages,Ireland,VSA104C01,2.08
