STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,-,Both sexes,Both sexes,32318.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1,Male,Male,16932.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,2,Female,Female,15386.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,-,Both sexes,Both sexes,48848.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1,Male,Male,24917.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,2,Female,Female,23931.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,-,Both sexes,Both sexes,32167.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1,Male,Male,16810.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,2,Female,Female,15357.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,-,Both sexes,Both sexes,343539.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,1,Male,Male,176634.0
PEA26C01,Persons,Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,2,Female,Female,166905.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,-,Both sexes,Both sexes,23191.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1,Male,Male,12103.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,2,Female,Female,11088.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,-,Both sexes,Both sexes,94810.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,47340.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,47470.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,46945.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,24464.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,22481.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,18751.0
PEA26C01,Persons,Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,9464.0
